threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
6.875,0.3426342634263426,0.28018097550209664,0.9806875241405948,0.4358424169599176,0.11970310391363023,887,6523,50,2539
6.9,0.34073407340734074,0.27964328966200597,0.9810737736577829,0.43522960932145305,0.11700404858299596,867,6543,49,2540
6.925000000000001,0.33953395339533954,0.279322853688029,0.981460023174971,0.43487934280335444,0.11524966261808367,854,6556,48,2541
6.95,0.33813381338133813,0.27889364504445174,0.981460023174971,0.43435897435897436,0.11336032388663968,840,6570,48,2541
6.9750000000000005,0.33763376337633766,0.27874067573497147,0.981460023174971,0.4341734301580521,0.1126855600539811,835,6575,48,2541
7.0,0.33663366336633666,0.2784352399737015,0.981460023174971,0.43380281690140843,0.11133603238866396,825,6585,48,2541
7.025,0.33483348334833485,0.27793570959982505,0.9818462726921592,0.4332339156369834,0.10877192982456141,806,6604,47,2542
7.050000000000001,0.3329332933293329,0.2773595199127114,0.9818462726921592,0.4325336055810788,0.10620782726045884,787,6623,47,2542
7.075,0.33163316331633164,0.27696665940292003,0.9818462726921592,0.43205574912891986,0.10445344129554655,774,6636,47,2542
7.1000000000000005,0.33013301330133016,0.27656334964654705,0.9822325222093472,0.431602172437203,0.10229419703103913,758,6652,46,2543
7.125,0.32853285328532855,0.27608294430572144,0.9822325222093472,0.43101694915254235,0.10013495276653171,742,6668,46,2543
7.15,0.3278327832783278,0.2759219088937093,0.9826187717265353,0.43085782030654585,0.099055330634278,734,6676,45,2544
7.175000000000001,0.3266326632663266,0.2756118691791206,0.9830050212437235,0.430516789308974,0.09730094466936572,721,6689,44,2545
7.2,0.32513251325132514,0.27526207716416295,0.9837775202780996,0.4301638236784327,0.09500674763832659,704,6706,42,2547
